product_id,product_name,brand_name,category,crops,target_problems,active_ingredient,description,pack_size,price,mrp,stock,dosage,application_method,waiting_period_days,organic_certified,status
PROD-TARGASUPER-250ML,Targa Super Herbicide 250ml Dhanuka (टार्गा सुपर),Dhanuka,Herbicide,"Soybean, Cotton, Groundnut, Onion, Black Gram","Narrow leaf weeds, Grass weeds, हरळी, लव्हाळा, गवतवर्गीय तण नियंत्रण",Quizalofop Ethyl 5% EC,Dhanuka Targa Super selectively eliminates all grassy narrow-leaf weeds within 7-10 days without harming broadleaf crops.,250 ml,370.0,420.0,4,250-300 ml per acre (2 ml/L water),Foliar Spray on Weeds,20,False,active
PROD-TARGASUPER-500ML,Targa Super Herbicide 500ml Dhanuka (टार्गा सुपर),Dhanuka,Herbicide,"Soybean, Cotton, Groundnut, Onion, Black Gram","Narrow leaf weeds, Grass weeds, हरळी, लव्हाळा, गवतवर्गीय तण नियंत्रण",Quizalofop Ethyl 5% EC,500ml bottle of Dhanuka Targa Super for 2 acres weed treatment.,500 ml,720.0,810.0,7,250-300 ml per acre,Foliar Spray on Weeds,20,False,active
PROD-TARGASUPER-100ML,Targa Super Herbicide 100ml Dhanuka (टार्गा सुपर),Dhanuka,Herbicide,"Soybean, Cotton, Groundnut, Onion","Narrow leaf weeds, Grass weeds, गवतवर्गीय तण",Quizalofop Ethyl 5% EC,100ml bottle of Dhanuka Targa Super.,100 ml,180.0,210.0,7,2 ml per liter of water,Foliar Spray on Weeds,20,False,active
PROD-SHAKED-400ML,Shaked Herbicide 400ml Adama (शकेद),Adama,Herbicide,"Soybean, Cotton, Groundnut, Pigeon Pea","Broad leaf and Narrow leaf weeds, सर्व प्रकारची गवतवर्गीय व रुंद पानांची तणे",Propaquizafop 2.5% + Imazethapyr 3.75% w/w ME,Adama Shaked is a complete post-emergence herbicide solution controlling both grassy and broadleaf weeds in soybean and pulses.,400 ml,460.0,520.0,3,400-500 ml per acre (3 ml/L water),Foliar Spray on Weeds,30,False,active
PROD-SHAKED-800ML,Shaked Herbicide 800ml Adama (शकेद),Adama,Herbicide,"Soybean, Cotton, Groundnut, Pigeon Pea","Broad leaf and Narrow leaf weeds, सर्व प्रकारची गवतवर्गीय व रुंद पानांची तणे",Propaquizafop 2.5% + Imazethapyr 3.75% w/w ME,800ml economy pack of Adama Shaked for 2 acres post-emergence weed control.,800 ml,860.0,960.0,2,400 ml per acre,Foliar Spray on Weeds,30,False,active
PROD-MERA71-1KG,Mera 71 Herbicide 1kg Sumitomo (मेरा ७१),Sumitomo,Herbicide,"Non-crop land, Orchard bunds, Fallow land, Sugarcane","Perennial stubborn weeds, Cyperus, Cynodon, सर्व प्रकारची गवत, लव्हाळा, हरळी, गाजरगवत",Glyphosate 71% SG,Sumitomo Mera 71 is a concentrated non-selective systemic herbicide for complete weed eradication including roots on bunds and non-crop land.,1 kg,760.0,850.0,284,1 kg per acre (6-7 gm/L water),Directed Weed Spray,30,False,active
PROD-MERA71-100GM,Mera 71 Herbicide 100gm Sumitomo (मेरा ७१),Sumitomo,Herbicide,"Non-crop land, Bunds, Fallow land","Stubborn weeds, लव्हाळा, हरळी, गाजरगवत",Glyphosate 71% SG,100gm pouch of Sumitomo Mera 71 for single 15L pump weed spray.,100 gm,90.0,105.0,201,100 gm per 15L pump,Directed Weed Spray,30,False,active
PROD-ROUNDUP-1LIT,Round Up Herbicide 1 Litre Monsanto/Bayer (राऊंडअप),Monsanto / Bayer,Herbicide,"Non-crop land, Orchard bunds, Sugarcane inter-row","All perennial weeds, लव्हाळा, हरळी, गाजरगवत",Glyphosate 41% SL,Original Monsanto Round Up 41% SL for complete weed kill on farm bunds and orchards.,1 Litre,470.0,540.0,1,1 Litre per acre (10 ml/L water),Directed Weed Spray,30,False,active
PROD-GLYCEL-1LIT,Glycel Herbicide 1 Litre Sumitomo (ग्लायसेल),Sumitomo,Herbicide,"Non-crop land, Bunds, Sugarcane inter-row","Annual & Perennial weeds, गवत, तण नियंत्रण",Glyphosate 41% SL,Sumitomo Glycel 41% SL systemic non-selective weedicide.,1 Litre,450.0,510.0,80,1 Litre per acre (10 ml/L water),Directed Weed Spray,30,False,active
PROD-SWEEPPOWER-1LIT,Sweep Power Herbicide 1 Litre UPL (स्वीप पॉवर),UPL,Herbicide,"Non-crop land, Cotton/Sugarcane inter-row with hood","Broadleaf and narrow leaf stubborn weeds, सर्व प्रकारची तणे",Glufosinate Ammonium 13.5% SL,UPL Sweep Power offers fast-acting contact burn-down of hard-to-control weeds with superior soil safety.,1 Litre,600.0,680.0,29,1 Litre per acre (7-8 ml/L water),Directed Spray with Hood,15,False,active
PROD-ISABION-500ML,Isabion Plant Growth Promoter 500ml Syngenta (इसाबियन),Syngenta,Bio-stimulant / Growth Promoter,"Tomato, Chilli, Cotton, Soybean, Pomegranate, Sugarcane, All Crops","Vigor, Flower drop prevention, Drought stress, Fruit setting, फुलगळ, पीक वाढ, फळांचा आकार",Natural Amino Acids and Short Peptides 62.5%,"Syngenta Isabion boosts nutrient assimilation, root vigor, and flower-to-fruit setting under drought or heat stress.",500 ml,560.0,630.0,9,500 ml per acre (2-2.5 ml/L water),Foliar Spray,0,False,active
PROD-ISABION-1LIT,Isabion Plant Growth Promoter 1 Litre Syngenta (इसाबियन),Syngenta,Bio-stimulant / Growth Promoter,"Tomato, Chilli, Cotton, Soybean, Pomegranate, Sugarcane","Vigor, Flower drop prevention, Stress relief, फुलगळ रोखणे, उत्पादन वाढ",Natural Amino Acids and Short Peptides 62.5%,1 Litre pack of Syngenta Isabion for large farms.,1 Litre,1080.0,1200.0,8,500 ml per acre,Foliar Spray,0,False,active
PROD-TATABAHAR-500ML,Tata Bahaar Plant Tonic 500ml Tata Rallis (टाटा बहार),Tata Rallis,Bio-stimulant / Growth Promoter,"Cotton, Soybean, Chilli, Tomato, Onion, Pomegranate, Gram","Flower stimulation, Fruit setting, Flower drop, फुलधारणा वाढवणे, फळगळ रोखणे, चकाकी","Amino acids, Peptides, Hydrolysed Proteins",Tata Bahaar is India's most popular bio-energizer accelerating flowering and preventing premature flower/fruit drop.,500 ml,270.0,310.0,24,500 ml per acre (2 ml/L water),Foliar Spray,0,False,active
PROD-TATABAHAR-1LIT,Tata Bahaar Plant Tonic 1 Litre Tata Rallis (टाटा बहार),Tata Rallis,Bio-stimulant / Growth Promoter,"Cotton, Soybean, Chilli, Tomato, Onion, Pomegranate, Gram","Flower stimulation, Fruit setting, Flower drop, फुलधारणा वाढवणे, फळगळ रोखणे","Amino acids, Peptides, Hydrolysed Proteins",1 Litre economy bottle of Tata Bahaar.,1 Litre,490.0,560.0,5,500 ml per acre,Foliar Spray,0,False,active
PROD-FANTACPLUS-100ML,Fantac Plus Plant Stimulant 100ml Coromandel (फॅन्टॅक प्लस),Coromandel,Bio-stimulant / Growth Promoter,"Cotton, Chilli, Tomato, Soybean, Pomegranate, Vegetables","Flower drop prevention, Vegetative branching, Chlorophyll increase, फुलगळ, फुटवे वाढवणे",Amino acids + Vitamins + Folic Acid,"Coromandel Fantac Plus promotes massive vegetative branching, profuse flowering, and dark green healthy foliage.",100 ml,240.0,280.0,65,100 ml per acre (0.5-1 ml/L water),Foliar Spray,0,False,active
PROD-FANTACPLUS-250ML,Fantac Plus Plant Stimulant 250ml Coromandel (फॅन्टॅक प्लस),Coromandel,Bio-stimulant / Growth Promoter,"Cotton, Chilli, Tomato, Soybean, Pomegranate","Flower drop prevention, Vegetative branching, फुलगळ, फुटवे वाढवणे",Amino acids + Vitamins + Folic Acid,250ml bottle of Coromandel Fantac Plus.,250 ml,490.0,550.0,3,100 ml per acre,Foliar Spray,0,False,active
PROD-CHAMATKAR-250ML,Chamatkar Plant Growth Regulator 250ml Gharda (चमत्कार),Gharda Chemicals,Bio-stimulant / Growth Promoter,"Cotton, Soybean, Chilli, Groundnut, Garlic","Excessive vegetative growth, Square dropping, Canopy management, अतिरिक्त झाडाची वाढ रोखणे, फुलधारणा वाढवणे",Mepiquat Chloride 5% AS,"Gharda Chamatkar checks excessive vegetative growth and diverts plant energy towards squaring, flowering, and boll sizing.",250 ml,270.0,310.0,38,200-250 ml per acre (1-1.5 ml/L water),Foliar Spray,0,False,active
PROD-CHAMATKAR-500ML,Chamatkar Plant Growth Regulator 500ml Gharda (चमत्कार),Gharda Chemicals,Bio-stimulant / Growth Promoter,"Cotton, Soybean, Chilli, Groundnut","Excessive vegetative growth, Square dropping, अतिरिक्त वाढ रोखणे, फुलधारणा",Mepiquat Chloride 5% AS,500ml bottle of Gharda Chamatkar.,500 ml,480.0,540.0,14,250 ml per acre,Foliar Spray,0,False,active
PROD-LIHOCIN-250ML,Lihocin Plant Growth Regulator 250ml BASF (लिहोसिन),BASF,Bio-stimulant / Growth Promoter,"Cotton, Soybean, Groundnut, Tomato, Grapes, Potato","Height control, Excessive vegetative growth, Flowering induction, झाडाची वाढ रोखून फुलोरा वाढवणे",Chlormequat Chloride 50% SL,"BASF Lihocin directs plant resources toward reproductive growth, increasing flowers and boll retention.",250 ml,350.0,400.0,9,150-200 ml per acre (1 ml/L water),Foliar Spray,0,False,active
PROD-LIHOCIN-500ML,Lihocin Plant Growth Regulator 500ml BASF (लिहोसिन),BASF,Bio-stimulant / Growth Promoter,"Cotton, Soybean, Groundnut, Tomato, Grapes, Potato","Height control, Excessive vegetative growth, Flowering induction",Chlormequat Chloride 50% SL,500ml bottle of BASF Lihocin.,500 ml,580.0,650.0,9,200 ml per acre,Foliar Spray,0,False,active
PROD-PLANOFIX-100ML,Planofix Flower Booster 100ml Bayer (प्लॅनोफिक्स),Bayer,Bio-stimulant / Growth Promoter,"Cotton, Chilli, Tomato, Pomegranate, Mango, Soybean","Flower drop, Square shedding, Fruit drop, बोंडगळ, फुलगळ रोखणे",Alpha Naphthyl Acetic Acid 4.5% SL (NAA),"Bayer Planofix prevents premature flower and bud dropping, directly boosting boll retention and crop yield.",100 ml,130.0,150.0,9,40-45 ml per acre (4 ml per 15L pump),Foliar Spray,0,False,active
PROD-PLANOFIX-250ML,Planofix Flower Booster 250ml Bayer (प्लॅनोफिक्स),Bayer,Bio-stimulant / Growth Promoter,"Cotton, Chilli, Tomato, Pomegranate, Mango, Soybean","Flower drop, Square shedding, Fruit drop, बोंडगळ, फुलगळ रोखणे",Alpha Naphthyl Acetic Acid 4.5% SL (NAA),250ml bottle of Bayer Planofix.,250 ml,260.0,300.0,2,4 ml per 15L pump,Foliar Spray,0,False,active
PROD-RUTMAX-1KG,Rutmax Potassium Humate 1kg Mahadhan (रूटमॅक्स ह्युमिक),Mahadhan,Bio-stimulant / Growth Promoter,"All Crops, Cotton, Soybean, Sugarcane, Tomato, Chilli, Onion, Wheat","White root growth, Nutrient uptake, Soil conditioning, पांढऱ्या मुळ्यांची वाढ, जमिनीची सुपीकता",Potassium Humate 98% + Fulvic Acid,Mahadhan Rutmax promotes explosion of white feeding roots and increases fertilizer uptake efficiency.,1 kg,640.0,720.0,17,500 gm - 1 kg per acre (Drenching / Soil / Spray),Drenching / Soil Application,0,True,active
PROD-RUTMAX-500GM,Rutmax Potassium Humate 500gm Mahadhan (रूटमॅक्स ह्युमिक),Mahadhan,Bio-stimulant / Growth Promoter,"All Crops, Cotton, Soybean, Sugarcane, Tomato, Chilli","White root growth, Nutrient uptake, पांढऱ्या मुळ्यांची वाढ",Potassium Humate 98% + Fulvic Acid,500gm pack of Mahadhan Rutmax Humic Acid.,500 gm,340.0,390.0,31,500 gm per acre,Drenching / Soil Application,0,True,active
PROD-BIOVITA-500ML,Biovita Seaweed Extract 500ml PI Industries (बायोव्हिटा),PI Industries,Bio-stimulant / Growth Promoter,"Cotton, Soybean, Chilli, Tomato, Sugarcane, Vegetables","Stress resistance, Root development, Flowering, पीक वाढ, फुटवे, फुलधारणा",Ascophyllum Nodosum Seaweed Extract,PI Biovita is a natural seaweed bio-stimulant rich in natural plant growth hormones and 60+ micro elements.,500 ml,350.0,400.0,15,500 ml per acre (2 ml/L water),Foliar Spray,0,True,active
PROD-BIOVITA-1LIT,Biovita Seaweed Extract 1 Litre PI Industries (बायोव्हिटा),PI Industries,Bio-stimulant / Growth Promoter,"Cotton, Soybean, Chilli, Tomato, Sugarcane, Vegetables","Stress resistance, Root development, Flowering, पीक वाढ, फुटवे",Ascophyllum Nodosum Seaweed Extract,1 Litre bottle of PI Biovita.,1 Litre,630.0,720.0,5,500 ml per acre,Foliar Spray,0,True,active
PROD-191919-1KG,19:19:19 100% Water Soluble NPK 1kg Vanita (१९:१९:१९),Vanita Agro,Micronutrient / Fertilizer,"Cotton, Soybean, Sugarcane, Tomato, Chilli, Wheat, Gram, All Crops","Vegetative growth, Yellowing leaves, Canopy growth, फुटवे वाढवणे, पिकाची हिरवेगार वाढ","Nitrogen 19%, Phosphorus 19%, Potassium 19%",Vanita 19:19:19 water-soluble balanced NPK fertilizer for early vegetative growth and rich green canopy.,1 kg,170.0,200.0,32,1 kg per acre (4-5 gm/L water),Foliar Spray / Drip Fertigation,0,False,active
PROD-005234-1KG,00:52:34 Mono Potassium Phosphate 1kg Mahadhan (००:५२:३४),Mahadhan,Micronutrient / Fertilizer,"Cotton, Soybean, Tomato, Chilli, Pomegranate, Gram, Onion","Flowering stage, Flower retention, Bud formation, Root strengthening, फुलोरा अवस्था, कळी भरणे","Phosphorus 52%, Potassium 34%",Mahadhan 00:52:34 provides high-purity water-soluble phosphorus and potassium for profuse flowering and preventing bud drop.,1 kg,220.0,260.0,6,1 kg per acre (4-5 gm/L water),Foliar Spray / Fertigation,0,False,active
PROD-000050-1KG,00:00:50 Sulphate of Potash 1kg Mahadhan (००:००:५०),Mahadhan,Micronutrient / Fertilizer,"Cotton, Soybean, Tomato, Pomegranate, Onion, Wheat, Gram","Fruit sizing, Grain weight, Sugar development, दाणे भरणे, फळांचा आकार व वजन, चमक","Potassium 50%, Sulphur 17.5%",Mahadhan 00:00:50 Sulphate of Potash boosts grain weight filling in soybean/gram and fruit sizing/quality in vegetables.,1 kg,150.0,180.0,1,1 kg per acre (4-5 gm/L water),Foliar Spray / Fertigation,0,False,active
PROD-126100-1KG,12:61:00 Mono Ammonium Phosphate 1kg Solupex (१२:६१:००),Solupex (Apex),Micronutrient / Fertilizer,"Cotton, Tomato, Chilli, Sugarcane, Onion, Wheat","Early root establishment, Tillering, Phosphatic boost, मुळांची वाढ, सुरुवातीचे फुटवे","Nitrogen 12%, Phosphorus 61%",Solupex 12:61:00 gives highest concentration of water soluble phosphate for early root establishment and tillering.,1 kg,190.0,220.0,2,1 kg per acre (4-5 gm/L water),Foliar Spray / Fertigation,0,False,active
PROD-130045-1KG,13:00:45 Potassium Nitrate 1kg Mahadhan (१३:००:४५),Mahadhan,Micronutrient / Fertilizer,"Cotton, Soybean, Tomato, Chilli, Pomegranate, Onion","Pod filling, Boll development, Fruit weight, बोंडांचा व फळांचा विकास, दाणे भरणे","Nitrogen 13%, Potassium 45%","Mahadhan 13:00:45 combines nitrate nitrogen and soluble potash for maximum fruit size, grain filling, and drought tolerance.",1 kg,180.0,210.0,4,1 kg per acre (4-5 gm/L water),Foliar Spray / Fertigation,0,False,active
PROD-PROZIN12-250GM,Prozin 12 Chelated Zinc EDTA 250gm Mahadhan (चिलेटेड झिंक),Mahadhan,Micronutrient / Fertilizer,"Cotton, Soybean, Paddy, Sugarcane, Wheat, Maize, Citrus","Zinc deficiency, Yellowing leaves, Chlorosis, पानांचा पिवळेपणा, शेंड्याची वाढ खुंटणे",Zinc (Zn) EDTA 12%,Mahadhan Prozin 12 is 100% chelated zinc quickly absorbed by plants to cure stunted vegetative growth and interveinal chlorosis.,250 gm,280.0,320.0,113,200-250 gm per acre (1 gm/L water),Foliar Spray,0,False,active
PROD-PROZIN12-500GM,Prozin 12 Chelated Zinc EDTA 500gm Mahadhan (चिलेटेड झिंक),Mahadhan,Micronutrient / Fertilizer,"Cotton, Soybean, Paddy, Sugarcane, Wheat, Maize","Zinc deficiency, Yellowing leaves, पानांचा पिवळेपणा",Zinc (Zn) EDTA 12%,500gm pack of Mahadhan Prozin 12 Chelated Zinc EDTA.,500 gm,510.0,580.0,33,250 gm per acre,Foliar Spray,0,False,active
PROD-BOROFOLL-250GM,Borofoll Boron 20% 250gm Mahadhan (बोरोन २०%),Mahadhan,Micronutrient / Fertilizer,"Pomegranate, Tomato, Cotton, Chilli, Gram, Mustard, Onion","Fruit cracking, Flower drop, Pollen fertility, फळांना तडे जाणे, फुलगळ, परागीभवन",Disodium Octaborate Tetrahydrate (Boron 20%),"Mahadhan Borofoll 20% provides soluble boron essential for pollen tube germination, fruit set without cracking, and seed setting.",250 gm,120.0,145.0,32,200-250 gm per acre (1 gm/L water),Foliar Spray,0,False,active
PROD-BOROFOLL-500GM,Borofoll Boron 20% 500gm Mahadhan (बोरोन २०%),Mahadhan,Micronutrient / Fertilizer,"Pomegranate, Tomato, Cotton, Chilli, Gram, Mustard","Fruit cracking, Flower drop, Pollen fertility, फळांना तडे जाणे, फुलगळ",Disodium Octaborate Tetrahydrate (Boron 20%),500gm pack of Mahadhan Borofoll Boron 20%.,500 gm,240.0,280.0,25,250 gm per acre,Foliar Spray,0,False,active
PROD-PROFER12-250GM,Profer 12 Chelated Ferrous Iron 250gm Mahadhan (चिलेटेड फेरस / लोह),Mahadhan,Micronutrient / Fertilizer,"Sugarcane, Groundnut, Cotton, Soybean, Citrus, Vegetables","Iron Chlorosis, Yellowing of young leaves, शेंड्यावरील पानांचा पिवळेपणा / पांढरेपणा",Iron (Fe) EDTA 12%,Mahadhan Profer 12 cures severe iron chlorosis where new leaves turn completely pale white or yellow in calcareous soils.,250 gm,270.0,310.0,7,200-250 gm per acre (1 gm/L water),Foliar Spray,0,False,active
PROD-MIXOLCOMBI-250GM,Mixol Combi Chelated Micronutrient Mixture 250gm Mahadhan (मल्टी मायक्रोन्युट्रियंट),Mahadhan,Micronutrient / Fertilizer,"All Crops, Cotton, Soybean, Tomato, Chilli, Sugarcane","General micro-deficiency, Yellowing, Stunted growth, सर्व सूक्ष्म अन्नद्रव्यांची कमतरता","Chelated Zn, Fe, Mn, Cu, B, Mo Mixture (Grade II)",Mahadhan Mixol Combi contains 100% chelated multi-micronutrients for complete crop nutrition and rapid green recovery.,250 gm,290.0,340.0,48,250 gm per acre (1-1.5 gm/L water),Foliar Spray,0,False,active
PROD-MIXOLCOMBI-500GM,Mixol Combi Chelated Micronutrient Mixture 500gm Mahadhan (मल्टी मायक्रोन्युट्रियंट),Mahadhan,Micronutrient / Fertilizer,"All Crops, Cotton, Soybean, Tomato, Chilli, Sugarcane","General micro-deficiency, Yellowing, Stunted growth","Chelated Zn, Fe, Mn, Cu, B, Mo Mixture (Grade II)",500gm pack of Mahadhan Mixol Combi Multi-Micronutrient blend.,500 gm,560.0,630.0,11,250 gm per acre,Foliar Spray,0,False,active
PROD-CALNIT-1KG,Calnit Calcium Nitrate 1kg PPL (कॅल्शियम नायट्रेट),PPL,Micronutrient / Fertilizer,"Tomato, Chilli, Pomegranate, Onion, Cotton, Sugarcane","Blossom end rot, Fruit cracking, Cell wall strength, फळकूज, फळांना तडे जाणे, फळांची कडकपणा",Water Soluble Calcium 18.8% + Nitrate Nitrogen 15.5%,"PPL Calnit strengthens plant cell walls, prevents blossom end rot in tomato/chilli, and enhances storage shelf-life of produce.",1 kg,100.0,120.0,32,1 kg per acre (4-5 gm/L water),Foliar Spray / Fertigation,0,False,active
PROD-NANOREA-500ML,Nano Urea IFFCO 500ml (नॅनो युरिया),IFFCO,Micronutrient / Fertilizer,"Cotton, Soybean, Wheat, Sugarcane, Paddy, Gram, All Crops","Nitrogen requirement, Canopy growth, Green color, नत्राची कमतरता, पीक वाढ",Nanotechnology Liquid Nitrogen 4%,IFFCO Nano Urea is a cutting-edge nanotechnology foliar fertilizer replacing 1 full 45kg urea bag with 85%+ nitrogen absorption efficiency.,500 ml,190.0,225.0,22,500 ml per acre (2-4 ml/L water),Foliar Spray,0,False,active
PROD-RUCHIBHUGOLD-1KG,Ruchi Bhugold Trichoderma Viride 1kg Ruchi (ट्रायकोडर्मा व्हिरीडी),Ruchi,Bio-pesticide,"All Crops, Gram, Soybean, Cotton, Tomato, Chilli, Sugarcane","Root Rot, Wilt, Damping Off, Collar Rot, मर रोग, मूळकुज, खोडकुज, जमिनीतील बुरशी",Trichoderma viride 1.5% WP (Bio-Fungicide),"Ruchi Bhugold Trichoderma viride is a potent biological antagonist protecting plant root zones from Fusarium, Pythium, and Rhizoctonia root rot.",1 kg,200.0,240.0,10,1-2 kg per acre (Soil Application / Seed Treatment: 10 gm/kg),Soil / Seed Treatment / Drenching,0,True,active
PROD-RUCHIFLUOR-1KG,Ruchi Pseudomonas Fluorescens 1kg Ruchi (सुडोमोनास फ्लुरोसन्स),Ruchi,Bio-pesticide,"Pomegranate, Tomato, Chilli, Cotton, Soybean, Paddy","Bacterial Blight, Canker, Wilt, Root Rot, तेल्या रोग, जिवाणू करपा, मर",Pseudomonas fluorescens 1.0% WP (Bio-Bactericide),Ruchi Pseudomonas produces plant antibiotics and induces systemic resistance against bacterial and fungal blights naturally.,1 kg,290.0,340.0,3,1-2 kg per acre (Soil / Foliar: 5 gm/L),Foliar Spray / Drenching,0,True,active
PROD-BITROL-500ML,Bitrol Pure Neem Oil 500ml Biofl (कडुलिंब तेल),Biofl,Bio-pesticide,"Cotton, Chilli, Tomato, Soybean, Pomegranate, Vegetables","Aphids, Whitefly, Thrips, Early Caterpillars, Mites, मावा, तुडतुडे, पांढरी माशी, अंडी नियंत्रण",Azadirachtin Pure Cold Pressed Neem Oil Formulation,"Biofl Bitrol is an organic neem oil formulation acting as antifeedant, insect growth disruptor, and egg sterilizer.",500 ml,820.0,920.0,14,500 ml per acre (2-3 ml/L water),Foliar Spray,0,True,active
PROD-LARVACIN-250ML,Larvacin Organic Neem Oil 250ml Dhruv (लार्व्हासीन),Dhruv,Bio-pesticide,"Cotton, Chilli, Tomato, Soybean, Vegetables","Sucking pests, Early caterpillars, Whitefly, मावा, पांढरी माशी",Neem Oil Extract Bio-Pesticide,Dhruv Larvacin organic botanical extract for chemical-free pest deterrence.,250 ml,460.0,520.0,14,250 ml per acre (2 ml/L water),Foliar Spray,0,True,active
PROD-FUNNELTRAP-1NO,Pheromone Funnel Trap Prism (कामगंध सापळा / फनेल ट्रॅप),Prism,Trap / Sticky Sheet,"Cotton, Tomato, Gram, Soybean, Sugarcane","Pink Bollworm, Helicoverpa, Spodoptera monitoring, बोंडअळी, लष्करी अळी पतंग नियंत्रण",Weather-proof UV plastic funnel with lure holder,Non-chemical physical pheromone mass-trapping tool to trap adult moths of pink bollworm and spodoptera before egg laying.,1 Trap,35.0,45.0,137,5-8 traps per acre installed at canopy height,Field Installation,0,True,active
PROD-VIPLAV135-475GM,Viplav 135 BG-2 Cotton Seeds 475gm Kaveri (विप्लव १३५ बीटी कापूस बियाणे),Kaveri Seeds,Cotton Seeds,Cotton (कापूस),"High yield, Big boll size, Drought tolerance, मोठा बोंड आकार, अधिक उत्पादन",Bollgard II Bt Cotton Hybrid Seeds (450g + 25g Refuge),"Kaveri Viplav 135 BG-2 is top-ranked for high yield, excellent boll opening, big boll size, and tolerance to sucking pests in Maharashtra.",475 gm,900.0,900.0,242,1-2 packets per acre depending on spacing (4x1.5 ft),Soil Sowing,0,False,active
PROD-ANKUR3028-475GM,Ankur 3028 BG-2 Cotton Seeds 475gm (अंकुर ३०२८ बीटी कापूस),Ankur Seeds,Cotton Seeds,Cotton (कापूस),"High yielding hybrid, Easy picking, अधिक बोंडे, वेचणीस सोपे",Bollgard II Hybrid Cotton Seed,"Ankur 3028 BG-2 is known for heavy bearing, uniform maturity, and high ginning percentage.",475 gm,900.0,900.0,16,1 packet per acre,Soil Sowing,0,False,active
PROD-KESHAV-475GM,Keshav BG-2 Cotton Seeds 475gm Ankur (केशव बीटी कापूस बियाणे),Ankur Seeds,Cotton Seeds,Cotton (कापूस),"Drought resilience, Heavy squaring, बोंडांची संख्या",Bollgard II Hybrid Cotton Seed,Keshav BG-2 hybrid cotton seed known for vigorous branching and dense boll load.,475 gm,900.0,900.0,18,1 packet per acre,Soil Sowing,0,False,active
PROD-BESTCOT9214-475GM,Bestcot 9214 BG-2 Cotton Seeds 475gm Kaveri (बेस्टकॉट ९२१४ कापूस बियाणे),Kaveri Seeds,Cotton Seeds,Cotton (कापूस),"Early maturity, Sucking pest tolerance, लवकर परिपक्वता",Bollgard II Hybrid Cotton Seed,Kaveri Bestcot-9214 is an early maturing hybrid suitable for rainfed light-to-medium soils.,475 gm,900.0,900.0,22,1 packet per acre,Soil Sowing,0,False,active
PROD-BHENDIRADHIKA-230GM,Bhendi Radhika Seeds 230gm Advanta (राधिका भेंडी बियाणे),Advanta Seeds,Vegetable Seeds,Okra / Bhendi (भेंडी),"YVMV resistance, Dark green tender pods, पिवळा मोझॅक रोगास प्रतिकार, निर्यातक्षम भेंडी",Hybrid Okra Seeds with Yellow Vein Mosaic Virus Resistance,Advanta Radhika is India's No. 1 hybrid bhendi seed producing high-value shiny dark green tender pods with superior market price.,230 gm,1330.0,1450.0,5,1-1.5 kg per acre,Soil Sowing,0,False,active
PROD-BHENDIKYRA-250GM,Bhendi Kyra Seeds 250gm Sun (कायरा भेंडी बियाणे),Sun Seeds,Vegetable Seeds,Okra / Bhendi (भेंडी),"High yield, Short internodes, जास्तीचे तोडे, हिरवीगार भेंडी",Hybrid Okra Seeds,Sun Kyra hybrid bhendi seeds yielding continuous tender flushes with short internodes.,250 gm,1120.0,1250.0,46,1.5 kg per acre,Soil Sowing,0,False,active
PROD-TOMATOABHILASH-10GM,Tomato Abhilash Seeds 10gm Seminis (अभिलाष टोमॅटो बियाणे),Seminis,Vegetable Seeds,Tomato (टोमॅटो),"TYLCV resistance, Firm round fruits, Long distance transport, गोल घट्ट टोमॅटो, लांबच्या वाहतुकीस योग्य",Hybrid Tomato Seeds with Leaf Curl Virus Resistance,"Seminis Abhilash is famous for uniform firm square-round red fruits, high sourness/taste, and strong transport endurance.",10 gm,550.0,620.0,10,40-50 gm per acre (Nursery transplant),Nursery Sowing,0,False,active
PROD-TOMATOSAAHO-8GM,Tomato Saaho F1 Seeds 8.3gm Syngenta (साहो टोमॅटो बियाणे),Syngenta,Vegetable Seeds,Tomato (टोमॅटो),"Heavy bearing, Glossy red color, Late blight tolerance, आकर्षक लाल रंग, भरघोस तोडे",F1 Hybrid Determinate Tomato Seeds,Syngenta Saaho F1 delivers unmatched yield potential with glossy deep red fruits and disease tolerance.,8.3 gm,990.0,1100.0,3,40 gm per acre (Transplant),Nursery Sowing,0,False,active
PROD-ONIONBHIMA-500GM,Onion Bhima Shubhra Seeds 500gm Jindal (भीमा शुभ्रा कांदा बियाणे),Jindal,Vegetable Seeds,Onion (कांदा),"White onion, High TSS, Storage quality, पांढरा कांदा, उत्कृष्ट टिकवणक्षमता",Certified Bhima Shubhra White Onion Seeds,"Jindal Bhima Shubhra is a premium white onion variety with high pungency, uniform bulb shape, and excellent storage life.",500 gm,380.0,450.0,37,3-4 kg per acre,Nursery Sowing / Transplanting,0,False,active
PROD-CHILLILALPARI-10GM,Chilly Lal Pari F1 Seeds 10gm Krija (लाल परी मिरची बियाणे),Krija Seeds,Vegetable Seeds,Chilli (मिरची),"High pungency, Deep red dry chilli yield, तिखट मिरची, वाळवणुकीस उत्तम",F1 Hybrid Red Chilli Seeds,Krija Lal Pari F1 produces glossy dark green fresh chillies that dry into attractive deep red market-grade dry chilli.,10 gm,550.0,620.0,5,60-80 gm per acre (Nursery transplant),Nursery Sowing,0,False,active
